Source IP,Source Port,Destination IP,Destination Port,Protocol,App Label,Traffic Label
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Streaming
192.168.68.78,53324,142.251.175.100,443,17,Spotify,File Transfer
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Streaming
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
142.251.175.100,443,192.168.68.78,53324,17,Discord,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Streaming
192.168.68.78,53324,142.251.175.100,443,17,Spotify,File Transfer
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
142.251.175.100,443,192.168.68.78,53324,17,Discord,Chat
142.251.175.100,443,192.168.68.78,53324,17,Discord,Streaming
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Streaming
192.168.68.78,59376,74.125.24.94,443,17,Spotify,Chat
74.125.24.94,443,192.168.68.78,59376,17,Discord,Chat
74.125.24.94,443,192.168.68.78,59376,17,Discord,Streaming
74.125.24.94,443,192.168.68.78,59376,17,Discord,Streaming
74.125.24.94,443,192.168.68.78,59376,17,Youtube,Streaming
74.125.24.94,443,192.168.68.78,59376,17,Discord,Chat
74.125.24.94,443,192.168.68.78,59376,17,Youtube,Streaming
74.125.24.94,443,192.168.68.78,59376,17,Youtube,Streaming
74.125.24.94,443,192.168.68.78,59376,17,Youtube,Streaming
74.125.24.94,443,192.168.68.78,59376,17,Discord,Streaming
74.125.24.94,443,192.168.68.78,59376,17,Youtube,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
74.125.24.94,443,192.168.68.78,59376,17,Youtube,Streaming
74.125.24.94,443,192.168.68.78,59376,17,Discord,Streaming
74.125.24.94,443,192.168.68.78,59376,17,Discord,Streaming
192.168.68.78,59376,74.125.24.94,443,17,Spotify,File Transfer
74.125.24.94,443,192.168.68.78,59376,17,Discord,Streaming
74.125.24.94,443,192.168.68.78,59376,17,Youtube,Streaming
192.168.68.78,59376,74.125.24.94,443,17,Spotify,Streaming
192.168.68.78,53324,142.251.175.100,443,17,Spotify,File Transfer
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
74.125.24.94,443,192.168.68.78,59376,17,Discord,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
142.251.175.100,443,192.168.68.78,53324,17,Discord,File Transfer
192.168.68.78,53324,142.251.175.100,443,17,Spotify,Streaming
