,Source IP,Source Port,Destination IP,Destination Port,Protocol,Traffic Label,App Label
284,192.168.68.71,50478,8.241.138.126,80,6,Chat,
285,8.241.138.126,80,192.168.68.71,50478,6,Streaming,
286,192.168.68.71,50480,8.241.138.126,80,6,Streaming,
287,192.168.68.71,50480,8.241.138.126,80,6,Chat,
288,8.241.138.126,80,192.168.68.71,50480,6,File Transfer,
289,192.168.68.71,50481,8.241.138.126,80,6,Streaming,
290,192.168.68.71,50481,8.241.138.126,80,6,Chat,
291,8.241.138.126,80,192.168.68.71,50481,6,Streaming,
292,192.168.68.71,50482,8.241.138.126,80,6,Streaming,
293,192.168.68.71,50482,8.241.138.126,80,6,Chat,
294,8.241.138.126,80,192.168.68.71,50482,6,File Transfer,
295,192.168.68.1,32911,239.255.255.250,1900,17,Gaming,
296,192.168.68.71,50483,8.241.138.126,80,6,Streaming,
297,192.168.68.71,50483,8.241.138.126,80,6,Chat,
298,8.241.138.126,80,192.168.68.71,50483,6,Streaming,
299,192.168.68.71,50484,8.241.138.126,80,6,Streaming,
300,192.168.68.71,50484,8.241.138.126,80,6,Chat,
301,8.241.138.126,80,192.168.68.71,50484,6,File Transfer,
302,192.168.68.71,50486,8.241.138.126,80,6,File Transfer,
303,8.241.138.126,80,192.168.68.71,50486,6,Streaming,
304,8.241.138.126,80,192.168.68.71,50486,6,File Transfer,
305,192.168.68.71,50487,8.241.138.126,80,6,Streaming,
306,192.168.68.71,50487,8.241.138.126,80,6,Chat,
307,8.241.138.126,80,192.168.68.71,50487,6,Streaming,
308,192.168.68.71,50488,8.241.138.126,80,6,File Transfer,
309,192.168.68.71,50488,8.241.138.126,80,6,Chat,
310,8.241.138.126,80,192.168.68.71,50488,6,File Transfer,
311,192.168.68.71,50489,8.241.138.126,80,6,File Transfer,
312,192.168.68.71,50489,8.241.138.126,80,6,Chat,
313,8.241.138.126,80,192.168.68.71,50489,6,File Transfer,
314,192.168.68.71,50490,8.241.138.126,80,6,File Transfer,
315,8.241.138.126,80,192.168.68.71,50490,6,Streaming,
316,8.241.138.126,80,192.168.68.71,50490,6,Streaming,
317,192.168.68.71,50491,8.241.138.126,80,6,Streaming,
318,192.168.68.71,50491,8.241.138.126,80,6,File Transfer,
319,192.168.68.71,50491,8.241.138.126,80,6,VoIP,
320,8.241.138.126,80,192.168.68.71,50491,6,File Transfer,
321,192.168.68.71,50492,8.241.138.126,80,6,Streaming,
322,192.168.68.71,50492,8.241.138.126,80,6,Chat,
323,8.241.138.126,80,192.168.68.71,50492,6,Streaming,
324,192.168.68.71,50493,8.241.138.126,80,6,File Transfer,
325,192.168.68.71,50493,8.241.138.126,80,6,VoIP,
326,8.241.138.126,80,192.168.68.71,50493,6,Streaming,
327,192.168.68.71,50494,8.241.138.126,80,6,File Transfer,
328,8.241.138.126,80,192.168.68.71,50494,6,Chat,
329,8.241.138.126,80,192.168.68.71,50494,6,Streaming,
330,192.168.68.71,50495,8.241.138.126,80,6,Streaming,
331,192.168.68.71,50495,8.241.138.126,80,6,Chat,
332,8.241.138.126,80,192.168.68.71,50495,6,File Transfer,
333,192.168.68.71,50496,8.241.138.126,80,6,VoIP,
334,192.168.68.71,50496,8.241.138.126,80,6,Chat,
335,8.241.138.126,80,192.168.68.71,50496,6,File Transfer,
336,192.168.68.71,50497,8.241.138.126,80,6,File Transfer,
337,192.168.68.71,50497,8.241.138.126,80,6,Chat,
338,8.241.138.126,80,192.168.68.71,50497,6,File Transfer,
339,192.168.68.71,50498,8.241.138.126,80,6,File Transfer,
340,192.168.68.71,50498,8.241.138.126,80,6,Chat,
341,8.241.138.126,80,192.168.68.71,50498,6,File Transfer,
342,192.168.68.71,50499,8.241.138.126,80,6,Streaming,
343,8.241.138.126,80,192.168.68.71,50499,6,Streaming,
344,8.241.138.126,80,192.168.68.71,50499,6,File Transfer,
345,192.168.68.71,50500,8.241.138.126,80,6,File Transfer,
346,8.241.138.126,80,192.168.68.71,50500,6,Chat,
